2026-05-07 15:09:18,902 | INFO | root | Admin panel: http://127.0.0.1:8080/admin
2026-05-07 15:09:19,074 | INFO | aiogram.dispatcher | Start polling
2026-05-07 15:09:28,537 | INFO | aiogram.dispatcher | Run polling for bot @dev_cardplacesmarket_bot id=8547453594 - 'Напомню обо всем'
2026-05-07 15:09:39,409 | INFO | aiogram.event | Update id=252250649 is handled. Duration 1984 ms by bot id=8547453594
2026-05-07 15:09:46,612 | INFO | aiogram.event | Update id=252250650 is handled. Duration 561 ms by bot id=8547453594
2026-05-07 15:10:21,041 | INFO | aiogram.event | Update id=252250651 is handled. Duration 844 ms by bot id=8547453594
2026-05-07 15:20:48,606 | INFO | aiogram.event | Update id=252250652 is handled. Duration 530 ms by bot id=8547453594
2026-05-07 15:28:01,162 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientOSError: [WinError 1236] Подключение к сети было разорвано локальной системой
2026-05-07 15:28:01,389 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8547453594)
2026-05-07 15:28:23,782 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:28:23,784 | WARNING | aiogram.dispatcher | Sleep for 1.258931 seconds and try again... (tryings = 1, bot id = 8547453594)
2026-05-07 15:28:46,246 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:28:46,247 | WARNING | aiogram.dispatcher | Sleep for 1.788224 seconds and try again... (tryings = 2, bot id = 8547453594)
2026-05-07 15:29:09,431 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:29:09,435 | WARNING | aiogram.dispatcher | Sleep for 2.201898 seconds and try again... (tryings = 3, bot id = 8547453594)
2026-05-07 15:29:33,187 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:29:33,189 | WARNING | aiogram.dispatcher | Sleep for 2.880170 seconds and try again... (tryings = 4, bot id = 8547453594)
2026-05-07 15:29:57,317 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:29:57,319 | WARNING | aiogram.dispatcher | Sleep for 3.852882 seconds and try again... (tryings = 5, bot id = 8547453594)
2026-05-07 15:30:22,411 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:30:22,415 | WARNING | aiogram.dispatcher | Sleep for 5.017555 seconds and try again... (tryings = 6, bot id = 8547453594)
2026-05-07 15:30:48,697 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:30:48,699 | WARNING | aiogram.dispatcher | Sleep for 5.250960 seconds and try again... (tryings = 7, bot id = 8547453594)
2026-05-07 15:31:15,317 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:31:15,319 | WARNING | aiogram.dispatcher | Sleep for 4.757000 seconds and try again... (tryings = 8, bot id = 8547453594)
2026-05-07 15:31:41,716 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
